site_name,transmission_catchment,catchment_confidence,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags
Lower Wonga Solar Farm - KCI,WG,high,Woolooga corridor (Gympie/Maryborough),Lower Wonga,353.0,Solar PV - Single axis tracking,Solar - Solar,Lower Wonga Solar Farm Pty Ltd,tier_3,0,
Lower Wonga Solar Farm and BESS,WG,high,Woolooga corridor (Gympie/Maryborough),Lower Wonga,300.0,,Solar,Lightsource BP,tier_1,0,
MacIntyre Wind Farm,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),MacIntyre,923.4,Wind Turbine - Onshore,Wind,Macintyre Windfarm Pty Ltd and Arc Energy Macintyre Pty Ltd,tier_3,1,large_tier3
Mackay GT,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mackay GT,34.0,Turbine - OCGT,Diesel,Stanwell Corporation Limited,tier_1,0,
Mackenzie River BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mackenzie,800.0,Storage - Battery,Solar - Solar,BSR EPC P/L,tier_2,0,
Mackenzie River Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mackenzie,800.0,Solar PV - Fixed,Solar - Solar,BSR EPC P/L,tier_2,0,
Macknade Mill,FNQ,high,FNQ corridor (Townsville and north),Macknade,5.0,Turbine - Steam Sub Critical,Bagasse,Wilmar Sugar Australia LImited,tier_3,0,
Madeline Downs BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Madeline Downs,500.0,Storage - Battery,Other - Other,AGL Energy Limited,tier_1,0,
Majors Creek Energy Storage System - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Majors Creek,500.0,Storage - Battery,Other - Other,Edify Energy Pty Ltd,tier_2,0,
Majors Creek Solar And BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Majors Creek,150.0,Solar PV - Single axis tracking,Solar - Solar,Edify Energy Pty Ltd,tier_2,0,
Maranbah Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Maranbah,160.0,Solar PV - Single axis tracking,Solar - Solar,EEW ECO ENERGY WORLD PTY LTD,tier_3,0,
Marmadua Wind Farm (KCI),DD,high,Darling Downs corridor (Dalby/Bell),Marmadua,950.0,Wind Turbine - Onshore,Wind - Wind,Cubico Sustainable Investments Australia Pty Ltd,tier_1,0,
Maryborough Mill,WG,medium,Wide Bay region (judgement call),Maryborough Mill,4.0,Turbine - Steam Super Critical,Bagasse,MSF Sugar,tier_3,0,
Maryrorough Solar Farm,Unclassified,review,No rule matched — manual review needed,,34.5,Solar PV - Single axis tracking,Solar,Maryrorough Solar Pty Ltd,tier_3,0,
Matthew Flinders College Senior,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Matthew Flinders,0.2,Solar PV - Fixed,Solar - Solar,Matthew Flinders Anglican College,tier_3,0,
McNamee Partners,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),McNamee,0.26,Solar PV - Fixed,Solar - Solar,McNamee Partners Pty Ltd,tier_3,0,
Mica Creek Solar Farm,FNQ,high,FNQ corridor (Townsville and north),Mica Creek,88.0,Solar PV - Single axis tracking,Solar - Solar,APA Group,tier_1,0,
Middle Creek Renewable Energy Hub - Wind,Unclassified,review,No rule matched — manual review needed,,750.0,Storage - Battery,Wind - Wind,Cubico Sustainable Investments Australia Pty Ltd,tier_1,0,
Middlebrook Solar And BESS,Unclassified,review,No rule matched — manual review needed,,387.14,Storage - Battery,Solar - Solar,Middlebrook Solar Farm Pty Ltd as trustee for MSF Project Trust,tier_3,0,
Middlebrook Solar Farm,Unclassified,review,No rule matched — manual review needed,,319.98,Solar PV - Single axis tracking,Solar - Solar,Middlebrook Solar Farm Pty Ltd as trustee for MSF Project Trust,tier_3,2,stale_proposed_4plus_releases
Middlemount Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Middlemount,26.0,Solar PV - Single axis tracking,Solar,Capricorn SF No1 Pty Ltd,tier_3,0,
Middlemount Sun Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Middlemount,26.0,Solar PV - Single axis tracking,Solar,Capricorn SF No1 Pty Ltd,tier_3,0,
Miles BESS Project,WD,high,WD substation/Chinchilla corridor,Miles BESS,500.0,Storage - Battery,Other - Other,TBSOL,tier_3,1,large_tier3
Miles Solar Project,WD,high,WD substation/Chinchilla corridor,Miles Solar,500.0,Solar PV - Fixed,Solar - Solar,Vena Energy,tier_1,1,stale_proposed_4plus_releases
Millmerran BESS - Storage,SD,medium,SD region (Millmerran/Inglewood corridor),Millmerran,200.0,Storage - Battery,Other - Other,Millmerran Power Partners,tier_3,0,
Millmerran Power Plant,SD,medium,SD region (Millmerran/Inglewood corridor),Millmerran,426.0,Turbine - Steam Super Critical,Black Coal,Millmerran Power Partners,tier_3,0,
Millmerran Wind Farm,SD,medium,SD region (Millmerran/Inglewood corridor),Millmerran,400.0,Wind Turbine - Onshore,Wind - Wind,Millmerran Power Partners,tier_3,0,
Mirani Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mirani,60.0,Solar PV - Fixed,Solar,ESCO Pacific,tier_2,2,stale_proposed_4plus_releases
Miriam Vale Renewable Energy Hub,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Miriam Vale,400.0,Storage - Battery,Other - Other,Private Energy Partners,tier_3,0,
Miriam Vale Solar Farm And BESS - A,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Miriam Vale,200.0,Solar PV - Single axis tracking,Solar - Solar,Private Energy Partners Pty Ltd,tier_3,0,
Miriam Vale Solar Farm And BESS - B,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Miriam Vale,200.0,Solar PV - Single axis tracking,Solar - Solar,Private Energy Partners Pty Ltd,tier_3,0,
Moah Creek Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Moah Creek,390.0,Solar PV - Fixed,Solar - Solar,RES Australia Pty Ltd,tier_1,0,
Moah Creek Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Moah Creek,415.0,,Wind,Moah Creek Wind Farm Project Co Pty Ltd as trustee for the Moah Creek Wind Farm Project Trust,tier_3,2,stale_proposed_4plus_releases
Molendinar,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Molendinar,0.48,Reciprocating Engine - Spark ignition,Landfill Methane / Landfill Gas,LMS Energy Pty Ltd,tier_3,0,
Monduran BESS,WG,medium,Wide Bay region (judgement call),Monduran,300.0,Storage - Battery,Other - Other,Eku Energy Projects (Australia) Pty Ltd as trustee for the Eku Energy Projects (Australia) Trust,tier_3,0,
Moonlight Range Wind Farm,Unclassified,review,No rule matched — manual review needed,,400.0,Storage - Battery,Other - Other,Brookfield,tier_1,1,stale_proposed_4plus_releases
Moranbah Generation Project,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Moranbah,12.56,Reciprocating Engine - Compression ignition,Waste Coal Mine Gas,SUSTAINABLE ENERGY INFRASTRUCTURE ,tier_3,0,
Moranbah North,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Moranbah,63.84,Reciprocating Engine - Spark ignition,Waste Coal Mine Gas,EDL Projects Australia Pty Ltd,tier_3,0,
Moranbah Workers Solar,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Moranbah,0.214,Solar PV - Fixed,Solar,TBA,tier_3,0,
Mount Britton BESS1,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mount Britton,377.54,Storage - Battery,Other - Other,firmpower_NR,tier_3,1,owner_junk:_NR$; owner_junk:^[a-z]
Mount Britton BESS2,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mount Britton,377.54,Storage - Battery,Other - Other,firmpower_NR,tier_3,1,owner_junk:_NR$; owner_junk:^[a-z]
Mount Emerald,FNQ,high,FNQ corridor (Townsville and north),Mount Emerald,180.52,Wind Turbine - Onshore,Wind - Wind,Ratch Australia,tier_2,0,
Mount Hopeful BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mount Hopeful,300.0,Storage - Battery,Other - Other,Neoen Australia Pty Ltd,tier_1,0,
Mount Hopeful Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mount Hopeful,370.0,Wind Turbine - Onshore,Wind - Wind,Mount Hopeful Wind Farm as trustee for Mount Hopeful Wind Farm Trust,tier_3,0,
Mount Larcom (Site A) Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mount Larcom,630.0,Solar PV - Fixed,Solar,Total Eren,tier_3,1,large_tier3
Mount Sheridan Plaza,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Mount Sheridan,0.3,Solar PV - Fixed,Solar,TBA,tier_3,0,
Mount Tom BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mount Tom,500.0,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd,tier_3,1,large_tier3
Mount Tom Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mount Tom,500.0,Solar PV - Fixed,Solar - Solar,Samsung C&T Renewable Energy Australia Pty Ltd,tier_3,1,large_tier3
Mount Walsh Wind Farm,WG,high,Woolooga corridor (Gympie/Maryborough),Mount Walsh,365.0,Wind Turbine - Onshore,Wind - Wind,Mainstream,tier_1,0,
Mount Walsh Wind Farm (Mainstream),WG,high,Woolooga corridor (Gympie/Maryborough),Mount Walsh,600.0,Wind Turbine - Onshore,Wind - Wind,Mainstream,tier_1,0,
Moura Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Moura,99.0,Solar PV - Single axis tracking,Solar,Moura Solar Farm SPV Pty Ltd as the Trustee for Moura Solar Farm Unit Trust,tier_3,0,
Mt Challenger BESS,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Mt Challenger,20.0,Storage - Battery,Other - Other,Tetris Energy,tier_3,0,
Mt Challenger Solar Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Mt Challenger,20.0,Solar PV - Fixed,Solar - Solar,Tetris Energy,tier_3,0,
Mt Challenger Wind Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Mt Challenger,115.0,Wind Turbine - Onshore,Wind - Wind,Tetris Energy,tier_3,0,
Mt Cotton Biomass Cogeneration Power Station,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Mt Cotton,7.6,Turbine - Steam Sub Critical,Wood Waste,Darwalla Milling Co Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Mt Fox BESS - ARENA,FNQ,high,FNQ corridor (Townsville and north),Mt Fox,300.0,Storage - Battery,Other - Other, Mount Fox BESS Pty Ltd,tier_3,0,
Mt Fox Energy Park,FNQ,high,FNQ corridor (Townsville and north),Mt Fox,342.0,,Wind,Mount Fox Energy Park Pty Ltd,tier_3,0,
Mt Fox Energy Park - KCI,FNQ,high,FNQ corridor (Townsville and north),Mt Fox,342.0,Wind Turbine - Onshore,Wind - Wind, Mount Fox Energy Park Pty Ltd,tier_3,0,
Mt Fox Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Mt Fox,291.4,Wind Turbine - Onshore,Wind - Wind, Mount Fox Energy Park Pty Ltd,tier_3,0,
Mt Rawdon Pumped Hydro Energy Storage Project,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mt Rawdon,1000.0,,Water,ICA Partners Pty Ltd,tier_2,0,
Mt Rawdon Pumped Hydro Energy Storage Project - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Mt Rawdon,2040.0,Storage - Pumped hydro,Hydro - Water, Mount Rawdon Pty Ltd,tier_3,2,mega_non_tier1
Mt Stuart,FNQ,high,FNQ corridor (Townsville and north),Mt Stuart,146.0,Turbine - OCGT,Diesel,Origin Energy Mt Stuart,tier_1,0,
Mulgrave Central Mill,FNQ,high,FNQ corridor (Townsville and north),Mulgrave,9.0,Turbine - Steam Super Critical,Bagasse,MSF Sugar,tier_3,0,
Munna Creek,WG,high,Woolooga corridor (Gympie/Maryborough),Munna Creek,120.0,Solar PV - Fixed,Solar,Renewable Energy System Technologies,tier_3,0,
Munna Creek Solar Farm,WG,high,Woolooga corridor (Gympie/Maryborough),Munna Creek,154.0,Solar PV - Single axis tracking,Solar,Munna Creek Solar Farm Investments Pty Ltd as trustee for the Munna Creek Solar Farm Trust,tier_3,0,
Murilla Energy Hub,WD,medium,Western Downs region (judgement call),Murilla,1155.0,Other - Other,Other - Other,APA Power Holdings Pty Ltd,tier_1,0,
Nebo BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Nebo,900.0,Storage - Battery,Other - Other,Nebo BESS Pty Ltd,tier_3,1,large_tier3
Nebo BESS (Baywa),CQ,high,CQ corridor (Callide/Gladstone/Isaac),Nebo,500.0,Storage - Battery,Other - Other,BayWA r.e Projects Australia Pty Ltd,tier_2,0,
Nebo BESS (Iberdrola) - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Nebo,280.0,Storage - Battery,Other - Other,Iberdrola Australia Development Pty Ltd.,tier_1,0,
Noblevale BESS (KCI),Unclassified,review,No rule matched — manual review needed,,180.0,Storage - Battery,Other - Other,Zen Energy Future Pty Ltd,tier_3,0,
Normanton Solar Farm,FNQ,high,FNQ corridor (Townsville and north),Normanton,4.96,Solar PV - Single axis tracking,Solar,TBA,tier_3,0,
North Burnett Renewable Hub - BESS,WG,high,Woolooga corridor (Gympie/Maryborough),North Burnett,720.0,Storage - Battery,Other - Other,X-Elio Australia Pty Ltd,tier_1,0,
North Burnett Renewable Hub - Solar,WG,high,Woolooga corridor (Gympie/Maryborough),North Burnett,720.0,Solar PV - Fixed,Solar - Solar,X-Elio Australia Pty Ltd,tier_1,0,
North Qld Bio-Energy Plant,Unclassified,review,No rule matched — manual review needed,,110.0,Turbine - Steam Sub Critical,Biomass,North Queensland Bio-Energy Corporation Limited,tier_3,2,stale_proposed_4plus_releases
Oakey 1 Solar Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Oakey,25.0,Solar PV - Fixed,Solar,Oakey1 Asset Co Pty Ltd,tier_3,0,
Oakey 2 Solar Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Oakey,55.64,Solar PV - Single axis tracking,Solar,RE Oakey Pty Ltd,tier_3,0,
Oakey Power Station,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Oakey,173.0,Turbine - OCGT,Natural Gas Pipeline,Oakey Power Holdings Pty Ltd,tier_3,0,
Oakey Solar Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Oakey,25.0,Solar PV - Fixed,Solar - Solar,Oakey1 Asset Co Pty Ltd,tier_3,0,
Oakville BESS,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Oakville,450.0,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd,tier_3,0,
Oakville Solar Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Oakville,450.0,Solar PV - Fixed,Solar - Solar,Samsung C&T Renewable Energy Australia Pty Ltd,tier_3,0,
Oaky Creek,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Oaky Creek,14.91,Reciprocating Engine - Spark ignition,Waste Coal Mine Gas,EDL OCI Pty Ltd,tier_3,0,
Oaky Creek 2,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Oaky Creek,15.0,Reciprocating Engine - Spark ignition,Waste Coal Mine Gas,EDL OCI PTY LTD,tier_3,0,
Pikedale Wind Farm (KCI),SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Pikedale,1500.0,Wind Turbine - Onshore,Wind - Wind,Squadron Energy Developments Pty Ltd,tier_1,0,
Pinnacles BESS - Storage - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Pinnacles,400.0,Storage - Battery,Other - Other,Enervest Pty Ltd,tier_3,0,
Pioneer BESS - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Pioneer BESS,240.0,Storage - Battery,Other - Other,Edify Energy Pty Ltd,tier_2,0,
Pioneer Sugar Mill,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Pioneer Sugar,36.9,Turbine - Steam Sub Critical,Bagasse,Pioneer Sugar Mills P/L,tier_1,0,
Pioneer-Burdekin Pumped Hydro Energy Storage,FNQ,high,FNQ corridor (Townsville and north),Burdekin,5000.0,Storage - Pumped hydro,Hydro - Water,Queensland Hydro,tier_1,0,
Plane Creek Mill,FNQ,high,FNQ corridor (Townsville and north),Plane Creek,10.0,Turbine - Steam Sub Critical,Bagasse,Wilmar Sugar Australia Limited,tier_3,0,
Pleasant Hills Solar Farm - KCI,Unclassified,review,No rule matched — manual review needed,,80.0,Solar PV - Fixed,Solar - Solar,TotalEnergies Renewables Australia Pty Ltd,tier_3,0,
Pleystowe BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Pleystowe,200.0,Storage - Battery,Other - Other,PLEYSTOWE BESS PTY LTD,tier_3,0,
Pleystowe BESS (KCI),CQ,high,CQ corridor (Callide/Gladstone/Isaac),Pleystowe,200.0,Storage - Battery,Other - Other,Pleystowe BESS P/L,tier_3,0,
Powerlink Teebar Creek Substation,WG,high,Woolooga corridor (Gympie/Maryborough),Teebar,250.0,,Solar,Fraser Coast Solar Park Pty Ltd (FCSP) ,tier_3,0,
Prairie WF & Wongalee WF,Unclassified,review,No rule matched — manual review needed,,1200.0,Wind Turbine - Onshore,Wind - Wind,Prairie Wind Farm Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Proserpine,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Proserpine,11.0,Turbine - Steam Sub Critical,Bagasse,Wimar Sugar Proserpine Pty Ltd,tier_3,0,
Proserpine Wind Farm - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Proserpine,1360.0,Wind Turbine - Onshore,Wind - Wind,CI Proserpine Pty Ltd as trustee for the CI Proserpine Trust,tier_3,1,large_tier3
Punch's Creek Renewable Energy,SD,medium,SD region (Millmerran/Inglewood corridor),Punch,798.72,Solar PV - Single axis tracking,Solar - Solar,Skylab,tier_3,1,large_tier3
Punch's Creek Renewable Energy Stage 2,SD,medium,SD region (Millmerran/Inglewood corridor),Punch,400.0,Solar PV - Single axis tracking,Solar - Solar,skylabgroup_NR,tier_3,1,owner_junk:_NR$; owner_junk:^[a-z]
Punchs Creek (Millmerran) Solar Farm,SD,medium,SD region (Millmerran/Inglewood corridor),Millmerran,600.0,Solar PV - Fixed,Solar,Skylab,tier_3,1,large_tier3
Punchs Creek (Milmerran) BESS - New,SD,medium,SD region (Millmerran/Inglewood corridor),Punch,400.0,Storage - Battery,Solar - Solar,Skylab,tier_3,0,
QCLNG Curtis Island Electrification - KCI,Unclassified,review,No rule matched — manual review needed,,90.0,Turbine - OCGT,Fossil - Natural Gas,QCLNG Operating Company Pty Ltd ,tier_3,0,
QLS Offshore Wind Energy,Unclassified,review,No rule matched — manual review needed,,1500.0,Wind Turbine - Offshore,Wind,GEP Developments Pty Ltd,tier_3,2,offshore_australia
Queensland Renewable Park,Unclassified,review,No rule matched — manual review needed,,750.0,Other - Other,Other,EEW Eco Energy World Pty Ltd,tier_3,1,large_tier3
Racecourse Mill,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Racecourse Mill,38.0,Turbine - Steam Sub Critical,Bagasse,Mackay Sugar Ltd,tier_3,0,
Raglan BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Raglan,500.0,Storage - Battery,Other - Other,acepower_NR,tier_3,1,owner_junk:_NR$; owner_junk:^[a-z]; large_tier3
Raglan Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Raglan,300.0,Solar PV - Single axis tracking,Solar - Solar,EEW Eco Energy World Ltd,tier_3,2,stale_proposed_4plus_releases
Rangemore BESS,Unclassified,review,No rule matched — manual review needed,,20.0,Storage - Battery,Other - Other,Tetris Energy,tier_3,0,
Rangemore Solar Farm,Unclassified,review,No rule matched — manual review needed,,20.0,Solar PV - Fixed,Solar - Solar,Tetris Energy,tier_3,0,
Rangemore Wind Farm,Unclassified,review,No rule matched — manual review needed,,185.0,Wind Turbine - Onshore,Wind - Wind,Tetris Energy,tier_3,0,
Reedy Creek,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Reedy Creek,0.85,Reciprocating Engine - Spark ignition,Landfill Gas,LMS_NR,tier_3,1,owner_junk:_NR$
Renewable Power Australia Limited,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Renewable Power Australia,30.0,Turbine - Steam Sub Critical,Green and air dried wood,Renewable Power Australia Limited as Trustee for FPC Green Fund Trust,tier_3,0,
Riverstone Rise BESS (KCI),Unclassified,review,No rule matched — manual review needed,,520.8,Storage - Battery,Other - Other,Pacific Partnerships Pty Ltd,tier_2,0,
Rochedale B,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Rochedale,2.25,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,LMS_NR,tier_3,1,owner_junk:_NR$
Rochedale Renewable Energy Facility,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Rochedale,4.492,Other - Spark ignition,Landfill Methane / Landfill Gas,LMS Energy Pty Ltd,tier_3,0,
Rocky Point Sugar Mill Cogeneration Plant,Unclassified,review,No rule matched — manual review needed,,30.0,Other - Other,Renewable Biomass or Waste - Bagasse,W.H.Heck and Sons Pty Ltd,tier_3,0,
Rodds Bay Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Rodds Bay,497.75,Solar PV - Single axis tracking,Solar,RBSF NewCo Pty Ltd,tier_3,0,
Roghan Road,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Roghan Road,1.15,Reciprocating Engine - Spark ignition,Landfill Gas,EDL LFG Qld Pty Ltd,tier_3,0,
Rolleston Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Rolleston,90.0,Solar PV - Fixed,Solar,RES Australia Pty Ltd,tier_1,1,stale_proposed_4plus_releases
Rollingstone Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Rollingstone,117.4,Solar PV - Fixed,Solar,ESCO Pacific,tier_2,2,stale_proposed_4plus_releases
Roma,DD,medium,DD region (Dalby corridor — judgement call),Roma,40.0,Turbine - OCGT,Natural Gas Pipeline,Origin Energy Power Limited,tier_1,0,
Ross River Solar Farm,FNQ,high,FNQ corridor (Townsville and north),Ross River,128.0,Solar PV - Single axis tracking,Solar,Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust,tier_3,0,
Rugby Run Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Rugby Run,65.0,Solar PV - Single axis tracking,Solar,Adani Rugby Run Pty Ltd,tier_3,0,
Rutherglen Battery - KCI,Unclassified,review,No rule matched — manual review needed,,400.0,Storage - Battery,Other - Other,Red Hill Renewable Energy Pty Ltd,tier_3,0,
Rutherglen Solar Farm - KCI,Unclassified,review,No rule matched — manual review needed,,400.0,Solar PV - Fixed,Solar - Solar,Red Hill Renewable Energy Pty Ltd,tier_3,0,
SIPS Staypylton Industrial Power Station,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Staypylton,0.15,Solar PV - Fixed,Solar,TBA,tier_3,0,
SRI/Mirabou (Braemar) BESS,DD,medium,DD region (Dalby corridor — judgement call),Braemar,100.0,Storage - Battery,Other,Miraabou Energy Ltd,tier_3,0,
SRI/Mirabou (Braemar) BESS - KCI,DD,medium,DD region (Dalby corridor — judgement call),Braemar,500.0,Storage - Battery,Other - Other, Miraabou Energy Ltd,tier_3,1,large_tier3
Smoky Creek Energy Storage System - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Smoky Creek,400.0,Storage - Battery,Other - Other,Edify Energy Pty Ltd,tier_2,0,
Smoky Creek Hybrid Facility - Solar And BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Smoky Creek,720.0,Solar PV - Single axis tracking,Solar - Solar,Edify Energy Pty Ltd,tier_2,0,
Smoky Creek Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Smoky Creek,700.0,Solar PV - Single axis tracking,Solar,Edify Energy Pty Ltd,tier_2,2,stale_proposed_4plus_releases
Somerset Dam,Unclassified,review,No rule matched — manual review needed,,3.2,Solar PV - Fixed,Solar,Seqwater,tier_3,0,
South Burnett BESS,TG,high,Tarong corridor (Tarong PS/Kingaroy),South Burnett,300.0,Storage - Battery,Other - Other,X-Elio Australia Pty Ltd,tier_1,0,
South Johnstone Mill,FNQ,high,FNQ corridor (Townsville and north),South Johnstone,28.5,Turbine - Steam Sub Critical,Bagasse,MSF Sugar,tier_3,0,
South Johnstone Mill (expansion),FNQ,high,FNQ corridor (Townsville and north),South Johnstone,32.0,Turbine - Steam Sub Critical,Bagasse,MSF Sugar,tier_3,2,stale_proposed_4plus_releases
South Nanango BESS,TG,high,Tarong corridor (Tarong PS/Kingaroy),South Nanango,630.0,Storage - Battery,Other - Other,RTB Renewables Pty Ltd,tier_2,0,
South Pine BESS - KCI,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),South Pine,300.0,Storage - Battery,Other - Other, Neon Australia Pty Ltd,tier_3,0,
South Pine Battery Energy Storage System,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),South Pine,400.0,Storage - Battery,Other,Neoen Australia Pty Ltd,tier_1,0,
Southbank Institute of Technology Unit 1 Plant,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Southbank,1.0,Reciprocating Engine - Compression ignition,Diesel,Southbank Institute of Technology,tier_3,0,
Southern Renewable Energy Zone BESS,Unclassified,review,No rule matched — manual review needed,,150.0,Storage - Battery,Other - Other,Stanwell Corporation Limited,tier_1,0,
Specimen Hill BESS - Storage - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Specimen Hill,100.0,Storage - Battery,Other - Other,ARK Energy Corporation Pty Ltd,tier_2,0,
Specimen Hill Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Specimen Hill,336.0,Wind Turbine - Onshore,Wind,ARK Energy Corporation Pty Ltd,tier_2,2,stale_proposed_4plus_releases
Springdale Wind Farm,SD,medium,SD region (Millmerran/Inglewood corridor),Springdale Wind,480.0,,Wind,Ratch Australia,tier_2,0,
Springlands Wind Farm,SD,medium,SD region (Millmerran/Inglewood corridor),Springlands Wind,798.6,Wind Turbine - Onshore,Wind - Wind, Ratch Australia,tier_2,0,
St Ursula's College Yeppoon,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),St Ursula,0.174,Solar PV - Fixed,Solar,TBA,tier_3,0,
Stanmore WCMG power station,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Stanmore,20.16,Reciprocating Engine - Spark ignition,Fossil - Coal Seam Methane,Stanmore Resources and Enernet Australia (JV),tier_3,0,
Stanwell,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Stanwell,365.0,Turbine - Steam Sub Critical,Black Coal,Stanwell Corporation Limited,tier_1,0,
Stanwell BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Stanwell,300.0,Storage - Battery,Other - Other,Stanwell Corporation Limited,tier_1,0,
Stanwell Energy Park - BESS connected to Stanwell Substation,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Stanwell,350.0,,Storage,Stanwell Corporation Ltd,tier_1,0,
Stanwell Energy Park - BESS connected to Tarong Substation,TG,high,Tarong corridor (Tarong PS/Kingaroy),Tarong,350.0,,Storage,Stanwell Corporation Ltd,tier_1,0,
